,0,1,2,3,4
0,-0.010773004,-0.03847892,-0.43731186,-0.21960148,-0.047349043
1,-0.033595156,-0.14591336,-0.050513413,-0.123671256,-0.2610399
2,-0.25246155,-0.0317616,0.060877264,0.03672372,0.017072294
3,0.014535378,0.08539397,0.028758448,-0.052725837,-0.003152865
4,0.20457582,-0.19594698,-0.20389146,-0.09871194,-0.055822328
,0,1,2,3,4
0,-0.010254256,0.02602484,0.14232828,0.13013837,-0.02864445
1,0.052018292,-0.009377127,0.1388857,0.040024336,-0.0071755815
2,0.062660016,0.059925493,-0.10963241,-0.19500133,0.04191496
3,0.02922096,-0.110406466,-0.14510526,-0.07173683,-0.11592162
4,-0.015094942,-0.14417447,-0.10073764,0.128989,-0.025762463
,0,1,2,3,4
0,0.13741626,0.19861458,0.0815595,0.020383097,0.084119625
1,0.22800998,0.0018072068,-0.14079362,-0.081421696,0.16111553
2,-0.15890303,-0.09033818,-0.1725092,0.012960972,0.3116472
3,0.07537707,-0.041221473,0.036337018,0.15547758,-0.014478992
4,-0.02653736,-0.050184194,0.13804673,0.21296918,0.12514362
,0,1,2,3,4
0,0.14447954,0.119470134,-0.024294619,-0.12325119,0.038290236
1,-0.02857315,-0.118800886,0.10116611,-0.041307237,0.03352997
2,-0.119654156,0.08586123,0.027972503,0.07712893,0.20019001
3,0.17761213,0.03968056,0.048237372,0.03815543,0.004739955
4,0.16768008,-0.053726684,0.15920942,0.117631465,-0.24003595
,0,1,2,3,4
0,-0.043665733,-0.038486596,0.1893038,0.10678606,0.02227545
1,0.025585182,-0.0070139603,0.11702809,-0.014371401,-0.00084995903
2,0.076378785,-0.020883545,-0.14054747,-0.23794536,-0.08103716
3,0.05090597,-0.13344857,-0.20190826,-0.08222345,-0.055025827
4,-0.20344587,-0.28381258,-0.11785543,0.034484833,-0.19018784
,0,1,2,3,4
0,0.028533781,-0.014894208,-0.14903104,-0.08207567,-0.015359514
1,-0.070362605,-0.13321263,0.10217388,0.0017903433,-0.022300346
2,-0.2820743,0.084934875,0.08523903,0.13054696,0.19641456
3,0.2551462,0.024972098,4.158868e-05,-0.037412755,-0.0008594645
4,0.09592877,-0.10887227,-0.13983761,-0.1064062,-0.2097972
,0,1,2,3,4
0,-0.2033316,-0.099637575,-0.10816148,0.10039601,-0.1603628
1,-0.2826673,0.09280515,-0.042113215,-0.20761561,-0.39753333
2,0.14855917,0.16182211,-0.04758922,-0.0787284,-0.11997482
3,0.066435985,-0.021115934,-0.15889984,-0.09072799,0.15165542
4,0.034139227,-0.036381945,0.050960243,-0.037323862,0.28370473
,0,1,2,3,4
